rank,model,theta,wins,losses,appearances,segment,p_vs_average,theta_lo,theta_hi,p_lo,p_hi,rank_lo,rank_hi,n_statements,n_respondents,n_opponents,status
1,Infiniti QX80,2.749451,6,1,7,flagship,0.939882,1.291765,3.834898,0.784446,0.978853,1,20,6,6,5,ranked
2,Range Rover,2.343888,14,2,16,flagship,0.912447,1.377589,3.894537,0.798603,0.980053,1,19,16,16,8,ranked
3,Mazda CX-9,2.266255,7,0,7,compact,0.906043,1.035570,2.932519,0.737994,0.949431,2,24,6,6,5,ranked
4,Mercedes EQS SUV,2.240484,8,1,9,flagship,0.903827,0.913860,3.648413,0.713789,0.974628,1,26,9,8,3,ranked
5,Cadillac Escalade IQ,2.184477,6,1,7,flagship,0.898847,0.789995,3.589451,0.687830,0.973129,1,28,7,6,4,ranked
6,Mercedes GLS,2.062143,19,5,24,flagship,0.887169,1.293120,3.319562,0.784675,0.965094,1,20,21,21,9,ranked
7,Lincoln Nautilus,1.985647,13,3,16,compact,0.879282,1.095954,3.453278,0.749501,0.969329,1,23,16,16,9,ranked
8,GMC Yukon,1.940042,20,5,25,flagship,0.874357,0.937897,3.167681,0.718675,0.959600,2,25,24,24,11,ranked
9,Buick Enclave,1.844404,7,3,10,family_3row,0.863469,0.600478,3.204875,0.645766,0.961017,2,32,8,8,5,ranked
10,Cadillac XT6,1.782904,7,2,9,family_3row,0.856055,0.474052,3.313316,0.616342,0.964883,2,34,9,9,6,ranked
11,Volkswagen Atlas,1.735075,12,4,16,family_3row,0.850060,0.769181,3.010522,0.683344,0.953047,2,29,16,16,6,ranked
12,Subaru Outback 2026,1.730927,13,1,14,compact,0.849531,0.702482,3.202721,0.668738,0.960937,2,30,14,13,8,ranked
13,Audi Q7,1.635022,10,3,13,mid_luxury,0.836856,0.666220,2.992504,0.660656,0.952234,2,30,10,10,5,ranked
14,Jeep Grand Wagoneer,1.623100,6,4,10,flagship,0.835222,0.027017,3.074591,0.506754,0.955832,2,43,7,7,5,ranked
15,Hyundai Palisade,1.507599,48,19,67,family_3row,0.818705,0.879070,2.326830,0.706630,0.911075,6,27,60,60,17,ranked
16,Cadillac Escalade,1.306765,16,15,31,flagship,0.786971,0.241619,2.301404,0.560113,0.908993,7,39,28,27,11,ranked
17,Lincoln Aviator,1.288145,12,4,16,mid_luxury,0.783833,0.220803,2.491766,0.554978,0.923563,5,39,15,13,7,ranked
18,Nissan Murano,1.283851,4,2,6,compact,0.783105,-0.188386,2.909963,0.453042,0.948337,3,45,6,6,3,ranked
19,Lincoln Navigator,1.270183,11,10,21,flagship,0.780774,0.155577,2.318428,0.538816,0.910392,7,40,17,16,6,ranked
20,Lexus LX,1.212610,9,3,12,flagship,0.770760,-0.084561,2.611921,0.478872,0.931625,5,44,11,11,7,ranked
21,Range Rover Sport,1.141676,11,3,14,mid_luxury,0.757987,0.130902,2.604008,0.532679,0.931119,5,40,12,12,7,ranked
22,Acura MDX,1.109056,8,4,12,mid_luxury,0.751953,-0.050963,2.351136,0.487262,0.913024,6,44,11,11,7,ranked
23,Genesis GV70,1.089353,13,4,17,mid_luxury,0.748260,-0.021181,2.606909,0.494705,0.931305,4,43,13,13,7,ranked
24,Lincoln Corsair,1.056276,6,4,10,compact,0.741978,-0.252626,2.210653,0.437177,0.901202,8,46,9,8,6,ranked
25,Audi Q8,1.045682,4,2,6,mid_luxury,0.739945,-0.106742,2.264553,0.473340,0.905898,7,45,5,5,4,ranked
26,BMW iX,0.918451,11,6,17,mid_luxury,0.714726,-0.130861,2.053079,0.467331,0.886258,9,45,17,16,5,ranked
27,Nissan Pathfinder,0.841528,15,11,26,family_3row,0.698787,0.143140,1.762508,0.535724,0.853523,13,40,25,25,7,ranked
28,Subaru Ascent,0.781327,22,9,31,family_3row,0.685966,-0.045377,1.779887,0.488658,0.855683,12,43,21,21,10,ranked
29,Volvo XC60,0.721289,15,9,24,compact,0.672891,-0.172115,1.885559,0.457077,0.868248,11,45,22,22,14,ranked
30,BMW X7,0.705536,13,22,35,flagship,0.669414,-0.094026,1.561755,0.476511,0.826605,15,44,32,31,9,ranked
31,Lexus RX,0.695362,22,12,34,mid_luxury,0.667159,-0.072696,1.441355,0.481834,0.808664,17,43,30,30,17,ranked
32,Mercedes GLE,0.549632,23,13,36,mid_luxury,0.634050,-0.264402,1.317500,0.434282,0.788766,19,46,33,33,10,ranked
33,Audi Q5,0.530594,12,8,20,compact,0.629622,-0.511769,1.761919,0.374779,0.853450,13,49,17,17,9,ranked
,Jeep Grand Cherokee,0.522299,3,2,5,mid_luxury,0.627685,-0.543080,1.471329,0.367471,0.813259,,,4,4,4,insufficient_respondents
34,Volvo XC90,0.463856,15,11,26,mid_luxury,0.613929,-0.346506,1.337099,0.414230,0.792012,19,48,24,24,14,ranked
35,Kia Telluride,0.352063,30,26,56,family_3row,0.587118,-0.325807,1.097507,0.419261,0.749793,23,48,53,53,16,ranked
