rank,model,theta,wins,losses,appearances,segment,p_vs_average,theta_lo,theta_hi,p_lo,p_hi,rank_lo,rank_hi,n_statements,n_respondents,n_opponents,status
1,Subaru Outback 2026,2.807545,10,0,10,compact,0.943082,,,,,,,10,10,6,ranked
,Infiniti QX80,2.709335,5,0,5,flagship,0.937575,,,,,,,4,4,4,insufficient_respondents
2,Range Rover,2.453071,14,2,16,flagship,0.920786,,,,,,,16,16,8,ranked
3,Mercedes GLS,2.378055,13,2,15,flagship,0.915138,,,,,,,14,14,6,ranked
4,Volkswagen Atlas,2.282603,8,2,10,family_3row,0.907426,,,,,,,10,10,5,ranked
5,Mazda CX-9,2.278387,7,0,7,compact,0.907071,,,,,,,6,6,5,ranked
6,Cadillac XT6,2.246042,7,1,8,family_3row,0.904309,,,,,,,8,8,6,ranked
7,Mercedes EQS SUV,2.219725,8,1,9,flagship,0.902007,,,,,,,9,8,3,ranked
8,GMC Yukon,2.121772,17,3,20,flagship,0.893001,,,,,,,20,20,10,ranked
9,Nissan Murano,2.000697,4,1,5,compact,0.880870,,,,,,,5,5,3,ranked
10,Cadillac Escalade IQ,1.992347,6,1,7,flagship,0.879991,,,,,,,7,6,4,ranked
11,Lincoln Nautilus,1.958680,10,2,12,compact,0.876390,,,,,,,12,12,8,ranked
12,Buick Enclave,1.734450,6,3,9,family_3row,0.849981,,,,,,,7,7,5,ranked
13,Hyundai Palisade,1.710560,30,11,41,family_3row,0.846909,,,,,,,40,40,17,ranked
14,Audi Q7,1.706463,7,1,8,mid_luxury,0.846377,,,,,,,7,7,3,ranked
15,Range Rover Sport,1.471933,7,2,9,mid_luxury,0.813351,,,,,,,8,8,5,ranked
16,Lincoln Aviator,1.431804,7,2,9,mid_luxury,0.807182,,,,,,,9,9,6,ranked
,Jeep Grand Wagoneer,1.323788,3,2,5,flagship,0.789811,,,,,,,4,4,2,insufficient_respondents
17,Lexus LX,1.091372,6,2,8,flagship,0.748640,,,,,,,8,8,4,ranked
18,Volvo XC60,1.001423,12,4,16,compact,0.731338,,,,,,,16,16,10,ranked
19,Cadillac Escalade,0.974302,12,11,23,flagship,0.725976,,,,,,,21,21,9,ranked
20,Subaru Ascent,0.931723,15,6,21,family_3row,0.717425,,,,,,,16,16,9,ranked
21,Lincoln Corsair,0.913688,3,3,6,compact,0.713754,,,,,,,6,6,4,ranked
22,BMW iX,0.895350,9,6,15,mid_luxury,0.709993,,,,,,,15,14,5,ranked
23,Acura MDX,0.877268,4,2,6,mid_luxury,0.706256,,,,,,,6,6,4,ranked
24,Nissan Pathfinder,0.874898,12,10,22,family_3row,0.705764,,,,,,,21,21,7,ranked
25,BMW X7,0.835658,11,15,26,flagship,0.697550,,,,,,,25,24,7,ranked
26,Lexus RX,0.775497,18,9,27,mid_luxury,0.684709,,,,,,,23,23,14,ranked
27,Genesis GV70,0.671068,7,4,11,mid_luxury,0.661742,,,,,,,10,10,6,ranked
28,Lincoln Navigator,0.663853,6,9,15,flagship,0.660125,,,,,,,12,12,5,ranked
29,Mercedes GLE,0.627821,17,10,27,mid_luxury,0.651995,,,,,,,26,26,10,ranked
,Jeep Grand Cherokee,0.516176,3,2,5,mid_luxury,0.626253,,,,,,,4,4,4,insufficient_respondents
30,Lexus TX,0.463226,7,4,11,mid_luxury,0.613779,,,,,,,8,8,6,ranked
,Audi Q8,0.449316,2,2,4,mid_luxury,0.610477,,,,,,,3,3,2,insufficient_respondents
31,Volvo XC90,0.428213,12,10,22,mid_luxury,0.605447,,,,,,,20,20,12,ranked
32,Lexus NX,0.364918,6,6,12,compact,0.590230,,,,,,,12,12,7,ranked
33,Honda Pilot,0.327861,25,26,51,family_3row,0.581239,,,,,,,50,49,13,ranked
34,Lexus GX,0.320794,20,13,33,mid_luxury,0.579518,,,,,,,31,31,10,ranked
35,Subaru Outback,0.209194,21,13,34,compact,0.552109,,,,,,,34,34,7,ranked
36,Land Rover Defender,0.057603,10,12,22,mid_luxury,0.514397,,,,,,,22,21,6,ranked
37,Kia Telluride,0.028534,19,14,33,family_3row,0.507133,,,,,,,32,32,13,ranked
38,Honda Passport,-0.012678,6,6,12,family_3row,0.496831,,,,,,,12,12,4,ranked
39,Toyota Venza,-0.018615,13,3,16,compact,0.495346,,,,,,,15,14,4,ranked
40,Toyota Highlander,-0.160380,8,18,26,family_3row,0.459991,,,,,,,25,24,11,ranked
41,BMW X5,-0.190226,34,39,73,mid_luxury,0.452586,,,,,,,67,65,25,ranked
42,Audi Q5,-0.247322,7,7,14,compact,0.438483,,,,,,,12,12,7,ranked
43,Porsche Macan,-0.327990,2,4,6,compact,0.418730,,,,,,,6,6,3,ranked
44,Volkswagen Tiguan,-0.335010,9,4,13,compact,0.417022,,,,,,,13,13,4,ranked
45,Genesis GV80,-0.383057,4,7,11,mid_luxury,0.405390,,,,,,,10,10,4,ranked
46,Mercedes GLC,-0.433311,5,6,11,compact,0.393336,,,,,,,10,10,6,ranked
47,Honda CR-V,-0.446170,16,14,30,compact,0.390272,,,,,,,30,29,11,ranked
48,Toyota Sequoia,-0.521391,2,10,12,flagship,0.372527,,,,,,,12,12,6,ranked
49,Cadillac XT5,-0.701044,1,5,6,compact,0.331581,,,,,,,6,6,3,ranked
50,Ford Explorer,-0.769539,4,6,10,family_3row,0.316579,,,,,,,10,10,5,ranked
,Jeep Grand Cherokee L,-0.789628,2,2,4,family_3row,0.312249,,,,,,,3,3,4,insufficient_respondents
,Ford Expedition,-0.840248,2,2,4,flagship,0.301483,,,,,,,4,4,3,insufficient_respondents
51,Mercedes GLE AMG,-0.848641,1,4,5,mid_luxury,0.299718,,,,,,,5,5,4,ranked
,Hyundai Santa Fe,-1.080606,4,5,9,family_3row,0.253391,,,,,,,7,7,2,insufficient_opponents
52,Porsche Cayenne,-1.161762,3,11,14,mid_luxury,0.238347,,,,,,,14,13,6,ranked
53,Subaru Forester,-1.448156,2,10,12,compact,0.190285,,,,,,,12,12,6,ranked
54,Toyota Grand Highlander,-1.468325,1,11,12,family_3row,0.187197,,,,,,,11,11,4,ranked
55,Mazda CX-90,-1.506094,2,11,13,family_3row,0.181518,,,,,,,13,12,4,ranked
56,Subaru Crosstrek,-1.517837,4,10,14,compact,0.179780,,,,,,,14,14,5,ranked
57,Lexus GX 550,-1.584439,7,11,18,mid_luxury,0.170168,,,,,,,18,17,8,ranked
58,Chevrolet Tahoe,-1.872794,2,5,7,flagship,0.133219,,,,,,,6,6,6,ranked
59,Toyota Land Cruiser,-2.021592,3,5,8,mid_luxury,0.116954,,,,,,,8,8,4,ranked
60,Mazda CX-5,-2.116945,3,8,11,compact,0.107461,,,,,,,11,11,8,ranked
61,Tesla Model X,-2.164661,11,16,27,mid_luxury,0.102969,,,,,,,26,25,8,ranked
62,Rivian R1S,-2.226932,5,23,28,mid_luxury,0.097358,,,,,,,26,26,10,ranked
63,BMW X3,-2.299193,3,10,13,compact,0.091190,,,,,,,13,13,8,ranked
64,Mazda CX-50,-2.525223,1,10,11,compact,0.074109,,,,,,,11,11,5,ranked
,Kia Sorento,-2.556122,1,9,10,family_3row,0.072016,,,,,,,8,8,2,insufficient_opponents
65,Toyota 4Runner,-2.767464,3,22,25,mid_luxury,0.059108,,,,,,,25,25,8,ranked
66,Toyota RAV4,-3.066073,1,29,30,compact,0.044529,,,,,,,30,29,14,ranked
,Chevrolet Suburban,-3.109142,0,4,4,flagship,0.042732,,,,,,,4,4,3,insufficient_respondents
67,Tesla Model Y,-3.723079,1,17,18,mid_luxury,0.023590,,,,,,,17,17,5,ranked
68,BMW X1,-3.885327,0,6,6,compact,0.020128,,,,,,,6,6,4,ranked
