scope,rank,model,theta,wins,losses,appearances,segment,p_vs_average,theta_lo,theta_hi,p_lo,p_hi,rank_lo,rank_hi,n_statements,n_respondents,n_opponents,status
compact,1,Lincoln Nautilus,2.629912,8,1,9,compact,0.932762,1.370623,3.936257,0.797481,0.980853,1,6,9,9,5,ranked
compact,2,Subaru Outback 2026,1.927326,10,1,11,compact,0.872953,1.113513,3.253949,0.752783,0.962815,1,7,11,10,5,ranked
compact,3,Audi Q5,1.636552,11,3,14,compact,0.837065,0.580790,2.840793,0.641249,0.944841,1,9,12,12,6,ranked
compact,4,Porsche Macan,1.590775,5,2,7,compact,0.830725,-0.012310,3.202508,0.496923,0.960929,1,11,7,7,3,ranked
compact,5,Toyota Venza,1.538643,13,1,14,compact,0.823267,0.410900,2.930070,0.601303,0.949313,1,9,13,12,3,ranked
compact,6,Volvo XC60,1.456907,14,7,21,compact,0.811059,0.537974,2.610062,0.631341,0.931506,2,9,19,19,11,ranked
compact,7,Lincoln Corsair,1.439499,6,4,10,compact,0.808377,0.055917,2.427200,0.513976,0.918878,2,10,9,8,6,ranked
compact,,Mazda CX-9,0.955217,3,0,3,compact,0.722163,0.179805,1.439205,0.544830,0.808332,,,3,3,2,insufficient_respondents
compact,8,Volkswagen Tiguan,0.700063,11,4,15,compact,0.668202,-0.374867,2.142259,0.407365,0.894943,3,11,15,15,4,ranked
compact,9,Subaru Outback,0.514494,25,12,37,compact,0.625859,-0.201359,1.371723,0.449830,0.797658,5,11,36,36,7,ranked
compact,10,Honda CR-V,0.483985,21,14,35,compact,0.618689,-0.221033,1.306508,0.444966,0.786928,6,11,33,31,9,ranked
compact,11,Lexus NX,0.035553,5,8,13,compact,0.508887,-1.036201,0.922366,0.261884,0.715524,7,13,13,13,6,ranked
compact,,Cadillac XT5,-0.159658,1,2,3,compact,0.460170,-0.941511,0.526349,0.280595,0.628631,,,3,3,2,insufficient_respondents
compact,12,Mercedes GLC,-1.009639,3,6,9,compact,0.267051,-1.946089,-0.111615,0.124980,0.472125,11,16,9,9,5,ranked
compact,13,Subaru Crosstrek,-1.162415,5,13,18,compact,0.238229,-2.320129,-0.201337,0.089470,0.449835,11,17,18,17,5,ranked
compact,14,Subaru Forester,-1.386239,2,10,12,compact,0.200009,-2.738805,-0.391437,0.060722,0.403372,11,18,12,11,4,ranked
compact,15,Mazda CX-5,-1.497505,3,8,11,compact,0.182798,-2.928139,-0.341029,0.050780,0.415560,12,18,11,11,8,ranked
